,Term,Count
770,above that,381434
771,presurgical shaving,6
772,130,15331781
773,6 mm long,6222
774,internal fixation,86262
775,serologic analysis,1452
776,pearson chi - square,0
777,de - signed,11
778,stay infants,16
779,scim,48570
780,deaths,6467037
781,viral,5481548
782,beyond the,5475344
783,pod,7120366
784,25. 2 mm,0
785,variance,4696451
786,190,18121940
787,cardiovascular events,237034
788,occupied,3414374
789,rank sum,96227
790,eastern cooperative oncology group,576
791,excess,9561956
792,acmia,1
793,psychiatric hospitals,30343
794,pupil sizes,2815
795,symptoms,11466600
796,88,75132478
797,married,8938038
798,cardiovascular disease,877855
799,sustained,3998716
800,specificity,3691288
801,ninety,898877
802,hepatitis b,1435
803,anesthetical,68
804,fsr,6362
805,astrocytomas,53294
806,helicopter,1215405
807,parental,2461602
808,"12, 4 %",7
809,96,103833224
810,mitral valve replacement,22765
811,366,3766828
812,ptd,8065
813,metabolic diseases,88734
814,hyperintense,76203
815,t - tests,15
816,287,4268516
817,static conditions,25196
818,adverse cardiovascular events,28685
819,predicted risk,17069
820,separator,763200
821,posterior,3945688
822,measures,12313408
823,789,3654562
824,pre - morbid intelligence,0
825,attended,4309873
826,more,307940937
827,foundry workers,2452
828,sternotomy,53263
829,disorders,6219413
830,fasting glucose,162642
831,significant,43859619
832,prolapse,181479
833,forced dilation,82
834,paresthesias,17639
835,destructive,1182313
836,2007 - 2009,1279
837,correlation analysis,246653
838,npbd,3
839,pancreatic juice,17945
840,intracerebral hemorrhage,51027
841,avascular,80800
842,figo stage,7
843,allergen,449096
844,2me,31001
845,fs,1326436
846,extubated,32732
847,lung cancer,1740826
848,iccs,342
849,below 50 %,239
850,improved,12489699
851,magnetic resonance imaging,751189
852,adhesions,254109
853,minimal - access techniques,0
854,subdural,101855
855,1 : 2 by year,0
856,morphine,746037
857,usual,8513695
858,dwi,3882
859,taqman probes,179
860,19. 8 %,0
861,177lu,13
862,bprs,94
863,intramuscular,344012
864,emergency,6437520
865,respiratory infections,120540
866,staple line leak,676
867,subarachnoid hemorrhage,85101
868,nova de,866
869,hfnc,1
870,suture anchor,17269
871,sub,67387816
872,nonmalignant disease,1113
873,mm,11710290
874,cutaneous,750559
875,gelatin,707250
876,phacodonesis,512
877,a± 2. 1a°,0
878,dietary supplements,120942
879,linear regression,834868
880,balb /,0
881,constrictive ring,60
882,tcc,18914
883,ii,1750672
884,endoscopic treatment,26880
885,0. 3 %,9
886,unstable,2333480
887,bad,25526020
888,sepsis,1168672
889,gastrointestinal surgical unit,10
890,histopathologic properties,62
891,closure,3228114
892,nicu,1293
893,significantly higher,3101156
894,atrial electrograms,2549
895,undetectable,405464
896,1.,282931575
897,active substance abuse,840
898,plasma levels,320656
899,primary care provider,28338
900,bisindolyl maleimide,33
901,63,68089625
902,traffic deaths,12942
903,younger than 80 years,1046
904,tunica albuginea,11317
905,meniere,206
906,tme,7545
907,nausea,893234
908,20,744194029
909,mental health,3163025
910,anchor,2155010
911,bppv,68
912,circumference,1020131
913,45a°,0
914,twins,1135320
915,62. 9 %,0
916,cmv,5267
917,breech delivery,4187
918,phagocytic,200449
919,parents / guardians,325
920,italian,96280
921,spina,63684
922,butylscopolamine,1019
923,lesions,5151147
924,interrupted steel wires,6
925,body,46193217
926,low responders,6087
927,mcgill university hospital centers,0
928,histologic appearance,6114
929,quantification assays,1691
930,radiosurgery,81373
931,incomplete emptying,3151
932,below baseline,11792
933,group,81142986
934,convenience,2593483
935,100,109152067
936,deflations,2751
937,146,7866107
938,departments,1928153
939,confederates,47409
940,low assets,252
941,medical wards,12837
942,transplanted,665129
943,of orthopaedic surgery,2676
944,mild,4718190
945,systemic lupus erythematosus,174626
946,hierarchical clustering analysis,17394
947,insulin dose,33252
948,18,245764177
949,antiretroviral formulations,95
950,macular clinic,19
951,examinations,1291172
952,narrow and,216028
953,radiologically,54044
954,abnormality,604581
955,glandular,213090
956,shaving,336038
957,intraclass,84806
958,families,11553620
959,2. 5 - year,0
960,first week,700903
961,iuv,3245
962,176,7883547
963,program,37373088
964,antiretroviral agents,8803
965,indoor,1376639
966,macroscopic,769255
967,degrees,7894795
968,51. 3 mg,2
969,increases,12817222
970,hiz,37220
971,lateral aspect of the knee,589
972,echocardiography,536149
973,shoulder,6281580
974,0401 alleles,125
975,active,20158215
976,mobility,2618503
977,central acute,111
978,\ xa0,2
979,t1dma€,0
980,size,47331299
981,combination,14462474
982,. 26 a± 0. 68a \ xa0mm,0
983,weeks later,782035
984,rural areas,720631
985,dw images,2
986,vitamin,3219811
987,sem,16068189
988,offspring,1633600
989,continuous variables,353079
990,direct,25713215
991,metastatic,1869436
992,over 18 years,42490
993,15 micrograms,7755
994,biochemical recurrence,24963
995,pregnancies,749584
996,reproductive,2001595
997,cv,1049010
998,radiographic assessment,6835
999,neutrophils,1078364
1000,mental disorder,159394
1001,inferoapical,300
1002,aortic stenosis,75505
1003,intense,3809315
1004,poorer,1011736
1005,golytely,62
1006,cta,18991
1007,acute cholecystitis,30814
1008,. 01,3095
1009,predominance,296432
1010,perianal fistula,4194
1011,a window stage,62
1012,morbidity,1797520
1013,hospitalisation,154907
1014,immunodeficiency virus / aids,0
1015,ldl,15266
1016,aerosol,601124
1017,endometriomas,9292
1018,intrarater,11950
1019,plate clear,313
1020,500 mg /,249
1021,single individuals,15927
1022,streptococci,99030
1023,serum sample,43179
1024,15 mg,194251
1025,antidepressant,464031
1026,t grade,2
1027,1. 5 - t,0
1028,renal,4944229
1029,prone,1757497
1030,access,34218785
1031,bactericidal,204286
1032,immunohistochemical staining,162015
1033,straight speed,265
1034,20 s,168679
1035,globulin,143518
1036,rrs,11228
1037,icer,2692
1038,2014,29058456
1039,household survey,31430
1040,superior,6550162
1041,receiver operator,20649
1042,dietary approaches,3682
1043,contraceptive pill,19844
1044,ovarian cancer,771755
1045,431,4030332
1046,alcohol consumption,521612
1047,tee,528549
1048,no - pain,0
1049,180,16319190
1050,saturated,1538217
1051,cchs,76
1052,silent,4408156
1053,institute of mental health,224
1054,65 %,13304
1055,45,98678371
1056,highest,16330884
1057,emotional problems,76869
1058,bridging agent,1140
1059,48 %,7509
1060,navy recruits,194
1061,qt,354868
1062,within 1 month,26766
1063,body weight,1876785
1064,energy,40933563
1065,vinorelbine,35880
1066,common bile duct dilation,253
1067,pyelography,8830
1068,dehydroepiandrosterone,40645
1069,etco2,68
1070,subchondral,92315
1071,stratification,629147
1072,posterior tibial slope,2778
1073,speed,18520208
1074,peripheral blood,976538
1075,adrb2,136
1076,nonradiated,645
1077,hamburgers,106645
1078,standard,34583217
1079,mix,7718364
1080,conceived,1791635
1081,least 2 years,30985
1082,haematoxylin,64742
1083,hundred,10603853
1084,computerised tomography,5748
1085,secretory phase,11358
1086,urticaria,109279
1087,"37, 732",335
1088,external,11179519
1089,improvements,4328532
1090,nosocomial,188594
1091,mass index,1161131
1092,continuing,4481177
1093,acute respiratory distress syndrome,73624
1094,group 1,415028
1095,s. aureus,141
1096,sprint,942327
1097,dual,5859336
1098,health interview,4516
1099,cardiac,5248450
1100,n,149279658
1101,entries,4119161
1102,car,65250581
1103,fibrous,633181
1104,side,52750085
1105,intoxicated,523947
1106,anoxic,103146
1107,multiple logistic regression,73441
1108,w,151479528
1109,vaginal,1133994
1110,biopsy,2188067
1111,dying,3365083
1112,head - down,3
1113,nihss,4
1114,insufficient,3911164
1115,msm,127432
1116,anorectal endosonography,53
1117,perinatal outcomes,28211
1118,fifteen percent,26736
1119,8 m,1245369
1120,egfr - tyrosine kinase,0
1121,81 %,5886
1122,650,4706979
1123,free survival,92445
1124,discogenic,10222
1125,0. 189,1376
1126,30,195009458
1127,residual,3335420
1128,power plant,444111
1129,gata,23638
1130,blood count,120811
1131,529,3290095
1132,university medical center,6125
1133,xa0children,0
1134,lesion,2824472
1135,specialists,1205437
1136,minimal,6631897
1137,2. 3 cm h2o,0
1138,effects models,37962
1139,primer pairs,145230
1140,later than 1 month,242
1141,pep,239386
1142,disease,32957102
1143,index,20077561
1144,airways pressure,1281
1145,anastomotic leakage,27923
1146,non - coated,2
1147,25 % a±,0
1148,0. 76 a± 0. 08,0
1149,confocal,1003765
1150,reperfusion therapy,15272
1151,3mx (,8
1152,thickness,5926147
1153,25 %,48218
1154,short,40368788
1155,ischaemic attack,13932
1156,possible,53926928
1157,women,42420859
1158,respiratory viruses,55773
1159,oxygen necessity,15
1160,477,3715657
1161,transition pore,21948
1162,cell wall,620093
1163,breasts,1271507
1164,urology,70837
1165,atherosclerotic,448061
1166,girls,9401080
1167,bone marrow,1653753
1168,bioavailable,78938
1169,cd,1834000
1170,10 mm,429362
1171,peak,9371099
1172,mr imaging,180
1173,rt,758430
1174,gallbladder carcinoma,11007
1175,aortic injury,5572
1176,heterotopic ossification,16383
1177,vc,299607
1178,kidney disorders,5648
1179,three percent,66287
1180,nonubiquitous allergen,2
1181,fundoplication breakdown,2
1182,865 admissions,14
1183,124,10478689
1184,0. 3 mg / kg,0
1185,bedside assessment,1509
1186,grade iii,96
1187,infant care / behavior,0
1188,student,11252811
1189,lvswi,0
1190,type 1 diabetes,295198
1191,224,6469128
1192,260,6562169
1193,0. 33 blood,0
1194,2. 8 liters,0
1195,calibration,2171063
1196,post hoc analyses,14927
1197,25a€ ‰,0
1198,2096,271426
1199,and drug administration,10264
1200,lung disease,295570
1201,nine,8340271
1202,om,11319621
1203,bifida,63363
1204,troubles,2035719
1205,human,50494221
1206,hips,1118339
1207,logistic,1725753
1208,college,9308065
1209,cronbach alpha,149
1210,consuming a carbohydrate source,3
1211,language therapist,3353
1212,enterotomy,5245
1213,50a,187957
1214,wave,13728261
1215,medial compartment,14133
1216,6 out of 40,1890
1217,0. 93 episodes,0
1218,pancreatic surgery,9655
1219,ultrasonographic index,36
1220,modified,8579246
1221,199,110961279
1222,eligible,3500468
1223,95. 45,124
1224,dislocated,125314
1225,aac,60376
1226,pearson correlation,2463
1227,geisinger medical center,2
1228,bms,9328
1229,resectional techniques,38
1230,kalabo,9
1231,four per cent,21401
1232,breathing,3171033
1233,civil,12635388
1234,similar,44393235
1235,werlhof ' s disease,0
1236,mania,355059
1237,melanomas,156405
1238,diabetics,230022
1239,x - ray,134
1240,250,15041962
1241,zambia,1356
1242,- one percent,28
1243,temporal,4304701
1244,s4,90076
1245,stay,21300980
1246,survey,9640442
1247,level,54091858
1248,south east london,61
1249,activities,15702517
1250,tod,595250
1251,rv ejection fraction,0
1252,francophones,24864
1253,term,35456410
1254,threatening,2080328
1255,‰ ¥5 mm,0
1256,76,65717825
1257,convulsive,75459
1258,blind review,5421
1259,balano,1983
1260,various cutoffs,785
1261,haemolytic,42785
1262,and pregnancy,136912
1263,. 0 %,112
1264,vasopressors,35929
1265,uterine myoma,4531
1266,way anova,473
1267,terpt,24
1268,prostatectomy,172905
1269,leg,11701954
1270,hemisphere,961335
1271,hepatitis g virus,2
1272,ess,8056678
1273,pcr,17549
1274,distances,3296388
1275,surgical site occurrence,226
1276,hyperlactatemia,8078
1277,histological specimens,5209
1278,recovered,3942936
1279,anterior suture,440
1280,- superior,843
1281,language,23766108
1282,15 to 50 minutes,89
1283,oxygenation,346102
1284,pin,6575394
1285,width,15433170
1286,73,64950300
1287,care,46312309
1288,1. 12,15380
1289,58. 3a°,0
1290,. 7 + /,0
1291,pbd,3638
1292,2 logmar,5
1293,1. 0,26784
1294,51,83869657
1295,655,3372765
1296,heart & vessel center,0
1297,winter of 2007 / 2008,2
1298,il - 6,0
1299,ratings,2323709
1300,nsclc,199
1301,van nuys,286
1302,7. 79 + /,0
1303,swedish,24201
1304,june 2011,622
1305,straining,318969
1306,transplantation,2242717
1307,pp,9173690
1308,regulated,3470615
1309,local anesthesia,91597
1310,5498,129837
1311,transplant,3903635
1312,pregnancy outcomes,85755
1313,blood loss,362429
1314,shape,13557601
1315,laboratory experiments,80047
1316,monthly,3601160
1317,epidural,374110
